is_male,height,weight,shoe_size,has_brown_hair
0,160.47274121083956,65.6755925263217,2.437690430097323,0
0,157.12648647959932,64.49794948813623,3.1712290408864883,1
0,161.60275421379154,66.16826955434526,2.735523492274788,0
1,171.57396041801798,62.540621797225874,7.5582729595433,1
1,172.1443124520776,64.72484779755978,6.972047655217719,0
1,157.067717582347,62.84844681247338,8.433896505443695,0
1,174.74042771344924,61.40778450651916,7.243265367444919,0
1,169.46726314442745,60.30360420844037,5.21598623917698,0
0,143.4227613657339,66.32801054569143,3.0904690584716525,1
1,173.73904953104977,61.33431495126353,8.0960008848491,1
0,156.20665925563304,62.83743000133569,3.396196819198488,0
0,149.27857565625513,62.374779883350406,3.282338299032949,0
1,169.65173057955673,62.720965092986475,7.184634058205443,0
1,166.79105895343923,66.20036608323758,8.826794754559732,0
1,173.4944858297508,59.77541884115098,8.090743666562465,1
0,164.82419970217632,64.78687464436976,4.049636351406665,1
0,151.95196883600286,66.43947890704622,5.0295432213631575,0
0,162.2518581964979,68.1113391569423,2.7575370466331903,0
0,157.84032679992728,63.77615715496375,3.411822609585215,0
0,159.3137331328012,65.1043105017835,4.319100220473981,1
0,155.653261341498,64.8427364105087,5.345327775212047,1
1,173.1214399349595,64.13790683544873,6.593691522924176,1
1,167.56211704744308,61.46162867072377,6.814763959350908,0
0,153.93959400016684,67.44812411063899,3.215716398996773,1
1,168.80499956116216,64.21164621643737,5.53156386557973,0
1,168.52332098339178,62.11999905783936,7.049062149633184,0
0,149.64338791803942,61.549702780967664,2.548146564776886,0
0,162.87826326001837,67.15373225285269,3.1276561662295164,0
0,149.0861359326171,62.350036322925746,2.7912104965679596,0
0,158.34633244992762,63.549514049441996,3.713050685013854,1
0,145.53640136947138,67.95126174513587,3.687782767637596,1
0,152.89539457467828,64.8496703315953,2.894438436345743,1
1,158.54527193043947,60.971189520504446,8.704816914860125,1
0,149.9857841462388,68.93186613364394,2.6659684833183195,0
0,154.5085442451175,68.14470115615926,3.319102124434431,1
1,179.6890426197011,59.1561489097899,7.429068244523407,1
0,143.12727440156937,62.1647828839181,3.5419259115253237,0
0,154.75644232564818,62.73875471035344,2.258042981785006,1
1,166.86973070629918,59.12366506848069,7.00535027019504,0
0,133.74945875454762,67.99918725472247,3.746475005510755,0
0,151.56446683492558,65.10550091500794,3.1168062338781057,0
1,179.85577767804332,59.63745460066255,8.226991427981993,1
1,158.74932254768305,65.03520070088653,7.3834975620889605,0
0,147.51986467509224,61.904544818162314,3.124449192196986,1
0,148.72699934089732,66.14893470158059,1.6576180120663306,0
1,167.05215390853408,59.98129819106387,7.926569185875927,1
0,158.72240141314646,65.83754134300928,4.660724514342003,1
1,165.2065471861402,63.24901729426023,7.233335798982803,1
